station,lon,lat
98320,-100.5472497,19.09603617
98321,-100.4996219,19.09557564
98322,-100.4519944,19.09510025
98323,-100.4043673,19.09461001
98324,-100.3567405,19.09410491
98325,-100.3091141,19.09358496
98326,-100.2614881,19.09305015
98327,-100.2138624,19.09250049
98328,-100.1662371,19.09193598
98329,-100.1186122,19.09135661
98330,-100.0709877,19.09076239
98331,-100.0233637,19.09015332
98332,-99.97574005,19.08952939
98333,-99.92811686,19.08889061
98334,-99.88049412,19.08823698
98335,-99.83287184,19.08756849
98336,-99.78525004,19.08688516
98337,-99.73762871,19.08618696
98338,-99.69000787,19.08547392
98339,-99.64238754,19.08474603
98340,-99.59476772,19.08400328
98341,-99.54714842,19.08324568
98342,-99.49952966,19.08247323
98343,-99.45191143,19.08168593
98344,-99.40429377,19.08088378
98345,-99.35667666,19.08006678
98346,-99.30906013,19.07923493
98347,-99.26144419,19.07838822
98348,-99.21382884,19.07752667
98349,-99.16621409,19.07665027
98350,-99.11859996,19.07575901
98351,-99.07098646,19.07485291
98352,-99.02337359,19.07393196
98353,-98.97576138,19.07299616
98354,-98.92814981,19.07204551
98355,-98.88053892,19.07108001
98356,-98.8329287,19.07009967
98357,-98.78531917,19.06910447
98358,-98.73771034,19.06809443
98359,-98.69010222,19.06706954
98360,-98.64249481,19.06602981
98361,-98.59488814,19.06497522
98362,-98.54728221,19.0639058
98363,-98.49967702,19.06282152
98364,-98.4520726,19.0617224
98365,-98.40446894,19.06060843
98366,-98.35686607,19.05947962
98367,-98.30926399,19.05833596
99319,-100.5944144,19.14153809
99320,-100.5467706,19.14109229
99321,-100.4991271,19.14063164
99322,-100.4514839,19.14015612
99323,-100.4038411,19.13966575
99324,-100.3561986,19.13916052
99325,-100.3085565,19.13864043
99326,-100.2609147,19.13810548
99327,-100.2132734,19.13755567
99328,-100.1656324,19.13699101
99329,-100.1179918,19.13641149
99330,-100.0703516,19.13581711
99331,-100.0227118,19.13520787
99332,-99.9750725,19.13458378
99333,-99.92743361,19.13394483
99334,-99.87979517,19.13329102
99335,-99.83215719,19.13262236
99336,-99.78451968,19.13193884
99337,-99.73688266,19.13124046
99338,-99.68924612,19.13052723
99339,-99.64161009,19.12979914
99340,-99.59397457,19.1290562
99341,-99.54633958,19.1282984
99342,-99.49870512,19.12752574
99343,-99.4510712,19.12673823
99344,-99.40343784,19.12593587
99345,-99.35580504,19.12511865
99346,-99.30817281,19.12428658
99347,-99.26054118,19.12343965
99348,-99.21291013,19.12257787
99349,-99.1652797,19.12170123
99350,-99.11764987,19.12080974
99351,-99.07002068,19.1199034
99352,-99.02239212,19.1189822
99353,-98.97476421,19.11804615
99354,-98.92713696,19.11709525
99355,-98.87951038,19.1161295
99356,-98.83188447,19.11514889
99357,-98.78425926,19.11415343
99358,-98.73663474,19.11314312
99359,-98.68901093,19.11211796
99360,-98.64138784,19.11107795
99361,-98.59376548,19.11002309
99362,-98.54614387,19.10895337
99363,-98.498523,19.10786881
99364,-98.45090289,19.10676939
99365,-98.40328356,19.10565513
99366,-98.355665,19.10452602
99367,-98.30804724,19.10338206
100319,-100.5939507,19.18659147
100320,-100.5462912,19.18614555
100321,-100.4986319,19.18568478
100322,-100.4509731,19.18520913
100323,-100.4033145,19.18471863
100324,-100.3556563,19.18421326
100325,-100.3079985,19.18369303
100326,-100.260341,19.18315794
100327,-100.2126839,19.18260799
100328,-100.1650272,19.18204318
100329,-100.1173709,19.1814635
100330,-100.069715,19.18086896
100331,-100.0220596,19.18025957
100332,-99.97440451,19.17963531
100333,-99.92674991,19.17899619
100334,-99.87909575,19.1783422
100335,-99.83144207,19.17767336
100336,-99.78378885,19.17698966
100337,-99.73613611,19.1762911
100338,-99.68848387,19.17557767
100339,-99.64083213,19.17484939
100340,-99.59318091,19.17410625
