"CLAVE","CVE_EST","NOMBRE","MUNICIPIO","SITUACION","Latitud","Longitud","Altitud"
30155,"ver","Santa Anita","Atoyac","Suspendida",18.92,-96.81,826
30156,"ver","Santa Ines","Cuichapa","Suspendida",18.75666667,-96.79138889,402
30157,"ver","Santa Maria Tatetla (CFE)","Jalcomulco","Suspendida",19.27305556,-96.71333333,282
30158,"ver","Santa Rosa","Actopan","Operando",19.46527778,-96.46388889,65
30159,"ver","Santa Rosalia","Tlacotalpan","Suspendida",18.46805556,-95.58333333,8
30160,"ver","Santa Trinidad","Pˇnuco","Operando",21.8925,-98.29,18
30161,"ver","Santiago Tuxtla","Santiago Tuxtla","Suspendida",18.46666667,-95.3,202
30162,"ver","Xochiapa","Santiago Sochiapan","Suspendida",17.66388889,-95.73888889,119
30163,"ver","Soledad De Doblado","Soledad De Doblado","Suspendida",19.04583333,-96.425,94
30164,"ver","Sumidero","Ixtaczoquitlˇn","Suspendida",18.90694444,-97.02222222,1077
30165,"ver","Tamarindo","Puente Nacional","Operando",19.33722222,-96.49166667,144
30166,"ver","Tamos","Pˇnuco","Operando",22.21611111,-97.99861111,8
30167,"ver","Tancochapa","Las Choapas","Operando",17.87361111,-94.08888889,13
30168,"ver","Tantima","Tantima","Suspendida",21.33027778,-97.83305556,205
30169,"ver","Tantoyuca","Tantoyuca","Operando",21.345,-98.22611111,77
30170,"ver","Tapalapa","Santiago Tuxtla","Suspendida",18.53194444,-95.30277778,290
30171,"ver","Tecolutla","Tecolutla","Operando",20.47916667,-97.00972222,7
30172,"ver","Tecuanapa","Las Choapas","Suspendida",17.7875,-94.19583333,6
30173,"ver","Tecuantepec (CFE)","Zozocolco De Hidalgo","Suspendida",20.14083333,-97.53472222,322
30174,"ver","Tehuipango","Tehuipango","Suspendida",18.51944444,-97.05694444,2305
30175,"ver","Tembladeras","Xico","Operando",19.51222222,-97.11805556,3102
30176,"ver","Tempoal De Sanchez","Tempoal","Operando",21.51888889,-98.41027778,34
30177,"ver","Tenampa (CFE)","Tenampa","Suspendida",19.25166667,-96.8825,1015
30178,"ver","Tenextepec","Perote","Operando",19.48611111,-97.26416667,2539
30179,"ver","Teocelo","Teocelo","Operando",19.38611111,-96.97361111,1188
30180,"ver","Terrerillos","Chicontepec","Operando",21.04083333,-98.15305556,138
30181,"ver","Tetelzingo","Coscomatepec","Suspendida",19.05333333,-97.13333333,2216
30182,"ver","Tierra Blanca (SMN)","Tierra Blanca","Suspendida",18.45,-96.36666667,65
30183,"ver","Tlacotalpan","Tlacotalpan","Suspendida",18.61388889,-95.65555556,5
30184,"ver","Tlalixcoyan","Tlalixcoyan","Suspendida",18.80277778,-96.06111111,10
30185,"ver","Lauchapan","San Andr?s Tuxtla","Operando",18.25,-95.35972222,22
30186,"ver","Totalco","Perote","Suspendida",19.50416667,-97.33805556,2354
30187,"ver","Totutla","Totutla","Operando",19.2125,-96.96388889,1446
30189,"ver","Tres Zapotes","Santiago Tuxtla","Operando",18.46666667,-95.43611111,28
30190,"ver","Tuxpam De Rodriguez Cano (OBS)","Tuxpan","Suspendida",20.95972222,-97.41888889,5
30191,"ver","Vega De Alatorre","Vega De Alatorre","Suspendida",20.02361111,-96.65416667,25
30192,"ver","Veracruz (OBS)","Veracruz","Suspendida",19.16111111,-96.13694444,19.5
30193,"ver","Jose Cardel","La Antigua","Operando",19.36472222,-96.37444444,28
30194,"ver","Villa Cuauhtemoc","Pueblo Viejo","Suspendida",22.18333333,-97.85,4
30195,"ver","Emiliano Zapata (CFE)","Emiliano Zapata","Suspendida",19.48333333,-96.78333333,924
30196,"ver","Isla","Isla","Suspendida",18.025,-95.52916667,67
30197,"ver","Vista Hermosa","Tezonapa","Suspendida",18.66388889,-96.7125,263
30198,"ver","Zalayeta","Perote","Operando",19.41388889,-97.38888889,2350
30199,"ver","Zempoala","Ursulo Galvˇn","Suspendida",19.44166667,-96.41666667,32
30200,"ver","Zongolica","Zongolica","Suspendida",18.66666667,-97,1224
